ts,code,name,exchange,day_trade,category,reference,limit_up,limit_down,open,high,low,close,buy_price,sell_price,volume,total_amount
2026-07-07T22:10:33,1444,力麗,TSE,DayTrade.No,04,9.15,10.05,8.24,9.15,9.37,8.82,8.93,8.93,8.95,8453,76635610.0
2026-07-07T22:10:33,1445,大宇,TSE,DayTrade.Yes,04,12.05,13.25,10.85,12.05,12.05,11.8,11.85,11.85,11.95,72,855700.0
2026-07-07T22:10:33,1446,宏和,TSE,DayTrade.OnlyBuy,04,17.4,19.1,15.7,17.5,17.5,17.2,17.2,17.2,17.3,557,9658050.0
2026-07-07T22:10:33,1447,力鵬,TSE,DayTrade.No,04,9.51,10.45,8.56,9.51,9.51,8.99,9.0,8.99,9.0,8262,75071980.0
2026-07-07T22:10:33,1449,佳和,TSE,DayTrade.Yes,04,14.75,16.2,13.3,14.75,14.75,14.0,14.25,14.25,14.3,1532,21936000.0
2026-07-07T22:10:33,1451,年興,TSE,DayTrade.Yes,04,17.45,19.15,15.75,17.45,17.45,17.1,17.15,17.1,17.15,202,3476300.0
2026-07-07T22:10:33,1452,宏益,TSE,DayTrade.Yes,04,11.95,13.1,10.8,11.95,11.95,11.7,11.75,11.75,11.8,157,1848800.0
2026-07-07T22:10:33,1453,大將,TSE,DayTrade.Yes,14,11.55,12.7,10.4,11.65,11.65,11.4,11.4,11.35,11.45,43,495400.0
2026-07-07T22:10:33,1454,台富,TSE,DayTrade.Yes,04,13.1,14.4,11.8,13.1,13.15,12.8,12.95,12.9,12.95,27,349700.0
2026-07-07T22:10:33,1455,集盛,TSE,DayTrade.Yes,04,10.9,11.95,9.81,10.95,10.95,10.25,10.35,10.3,10.35,3877,40772400.0
2026-07-07T22:10:33,1456,怡華,TSE,DayTrade.Yes,14,14.3,15.7,12.9,14.65,14.65,13.7,14.1,14.05,14.1,108,1505500.0
2026-07-07T22:10:33,1457,宜進,TSE,DayTrade.Yes,04,14.7,16.15,13.25,14.65,14.8,14.25,14.4,14.35,14.4,98,1416150.0
2026-07-07T22:10:33,1459,聯發,TSE,DayTrade.Yes,04,12.15,13.35,10.95,12.15,12.15,11.9,12.0,11.95,12.0,157,1884100.0
2026-07-07T22:10:33,1460,宏遠,TSE,DayTrade.No,04,8.08,8.88,7.28,8.15,8.15,7.66,7.77,7.76,7.8,2131,16803320.0
2026-07-07T22:10:33,1463,強盛新,TSE,DayTrade.Yes,04,17.75,19.5,16.0,17.8,18.2,17.5,17.8,17.65,17.8,156,2782650.0
2026-07-07T22:10:33,1464,得力,TSE,DayTrade.Yes,04,11.1,12.2,9.99,11.1,11.1,10.85,10.95,10.9,10.95,790,8658000.0
2026-07-07T22:10:33,1465,偉全,TSE,DayTrade.Yes,04,13.65,15.0,12.3,13.8,13.9,13.25,13.55,13.55,13.6,535,7267800.0
2026-07-07T22:10:33,1466,聚隆,TSE,DayTrade.Yes,04,18.3,20.1,16.5,19.8,20.1,19.25,19.4,19.4,19.45,8652,171932550.0
2026-07-07T22:10:33,1467,南緯,TSE,DayTrade.Yes,04,9.31,10.2,8.38,9.26,9.31,8.75,8.82,8.82,8.84,1799,16209920.0
2026-07-07T22:10:33,1468,昶和,TSE,DayTrade.No,04,12.3,13.5,11.1,12.3,12.35,12.0,12.15,12.1,12.15,56,683750.0
2026-07-07T22:10:33,1470,大統新創,TSE,DayTrade.Yes,04,21.7,23.85,19.55,21.7,21.7,21.4,21.4,20.8,21.75,2,43100.0
2026-07-07T22:10:33,1471,首利,TSE,DayTrade.No,28,10.9,11.95,9.81,11.05,11.15,10.6,10.65,10.65,10.7,688,7371200.0
2026-07-07T22:10:33,1472,三洋實業,TSE,DayTrade.Yes,14,87.9,96.6,79.2,87.9,88.2,87.5,88.0,88.1,88.2,38,3339600.0
2026-07-07T22:10:33,1473,台南,TSE,DayTrade.Yes,04,20.8,22.85,18.75,20.8,20.8,20.35,20.6,20.4,20.6,44,903150.0
2026-07-07T22:10:33,1474,弘裕,TSE,DayTrade.Yes,04,10.8,11.85,9.72,10.8,10.95,10.6,10.8,10.7,10.8,242,2599000.0
2026-07-07T22:10:33,1475,業旺,TSE,DayTrade.Yes,04,27.95,30.7,25.2,27.0,27.75,27.0,27.15,27.1,27.15,30,816600.0
2026-07-07T22:10:33,1476,儒鴻,TSE,DayTrade.Yes,04,323.0,355.0,291.0,329.0,341.5,328.5,340.5,340.5,341.0,3277,1105927500.0
2026-07-07T22:10:33,1477,聚陽,TSE,DayTrade.Yes,04,230.0,253.0,207.0,231.0,233.5,227.5,231.5,231.0,231.5,4879,1122756500.0
2026-07-07T22:10:33,1503,士電,TSE,DayTrade.Yes,05,241.5,265.5,217.5,243.5,244.0,229.0,230.0,230.0,230.5,3277,771311500.0
2026-07-07T22:10:33,1504,東元,TSE,DayTrade.Yes,05,73.1,80.4,65.8,74.0,74.6,70.8,70.9,70.8,70.9,19923,1452252500.0
2026-07-07T22:10:33,1506,正道,TSE,DayTrade.No,05,10.55,11.6,9.5,10.5,10.5,10.15,10.3,10.15,10.3,422,4329400.0
2026-07-07T22:10:33,1512,瑞利,TSE,DayTrade.No,12,7.21,7.93,6.49,7.27,7.27,7.16,7.2,7.17,7.2,106,762910.0
2026-07-07T22:10:33,1513,中興電,TSE,DayTrade.OnlyBuy,05,178.5,196.0,161.0,180.5,181.0,175.0,175.0,175.0,175.5,5698,1010812000.0
2026-07-07T22:10:33,1514,亞力,TSE,DayTrade.Yes,05,126.5,139.0,114.0,127.5,128.5,120.0,121.0,121.0,121.5,6889,851063500.0
2026-07-07T22:10:33,1515,力山,TSE,DayTrade.No,05,42.75,47.0,38.5,41.6,41.6,38.5,38.75,38.7,38.75,3233,127699200.0
2026-07-07T22:10:33,1516,川飛,TSE,DayTrade.No,20,18.65,20.5,16.8,18.2,18.55,18.15,18.55,18.15,18.6,19,347850.0
2026-07-07T22:10:33,1517,利奇,TSE,DayTrade.Yes,05,11.35,12.45,10.25,11.35,11.35,10.85,11.0,10.95,11.0,395,4358750.0
2026-07-07T22:10:33,1519,華城,TSE,DayTrade.Yes,05,773.0,850.0,696.0,776.0,778.0,746.0,748.0,748.0,749.0,1723,1306543000.0
2026-07-07T22:10:33,1521,大億,TSE,DayTrade.Yes,12,26.25,28.85,23.65,26.2,26.3,26.0,26.1,26.0,26.1,48,1255050.0
2026-07-07T22:10:33,1522,堤維西,TSE,DayTrade.Yes,12,30.55,33.6,27.5,30.55,30.55,30.0,30.05,30.0,30.05,598,18095050.0
2026-07-07T22:10:33,1524,耿鼎,TSE,DayTrade.Yes,12,29.5,32.45,26.55,29.9,29.9,28.65,28.9,28.85,28.95,731,21297700.0
2026-07-07T22:10:33,1525,江申,TSE,DayTrade.Yes,12,68.0,74.8,61.2,68.0,68.0,66.0,67.1,66.5,67.1,16,1072900.0
2026-07-07T22:10:33,1526,日馳,TSE,DayTrade.Yes,05,15.0,16.5,13.5,14.9,14.9,14.55,14.55,14.55,14.7,70,1033750.0
2026-07-07T22:10:33,1527,鑽全,TSE,DayTrade.Yes,05,33.9,37.25,30.55,33.75,33.9,33.45,33.5,33.45,33.55,197,6609450.0
2026-07-07T22:10:33,1528,恩德,TSE,DayTrade.Yes,05,24.05,26.45,21.65,24.05,24.1,22.75,22.8,22.75,22.85,1810,42027900.0
2026-07-07T22:10:33,1529,樂事綠能,TSE,DayTrade.Yes,05,23.2,25.5,20.9,23.2,23.25,22.4,22.55,22.5,22.6,670,15206850.0
2026-07-07T22:10:33,1530,亞崴,TSE,DayTrade.Yes,05,29.75,32.7,26.8,29.7,29.7,29.0,29.05,28.9,29.05,59,1727500.0
2026-07-07T22:10:33,1531,高林股,TSE,DayTrade.Yes,05,13.15,14.45,11.85,13.15,13.15,13.05,13.15,13.1,13.15,202,2647850.0
2026-07-07T22:10:33,1532,勤美,TSE,DayTrade.Yes,05,23.6,25.95,21.25,23.6,23.7,23.2,23.4,23.3,23.4,396,9270850.0
2026-07-07T22:10:33,1533,車王電,TSE,DayTrade.Yes,12,37.5,41.25,33.75,37.5,38.5,37.3,37.75,37.75,38.0,214,8104850.0
2026-07-07T22:10:33,1535,中宇,TSE,DayTrade.Yes,05,50.3,55.3,45.3,50.5,50.5,50.0,50.1,50.1,50.3,96,4818200.0
